CO_CURSO,TP_SEXO,NT_GER,NT_FG,EST_CIVIL,COR_RACA,ENS_MED,RENDA
13405,F,36.4,45.6,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,ATE 1.5
13405,M,66.3,78.8,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,27.3,48.5,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,F,54.6,68.9,SOLTEIRO(A),BRANCA,ESCOLA PRIVADA,DE 1.5 A 3
13405,M,34.8,48.9,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,44.2,51.7,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,34.1,30,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,38.9,59.4,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 3 A 4.5
13405,F,47.6,62.2,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 3 A 4.5
13405,M,41.4,45.1,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,58.3,59.6,SOLTEIRO(A),PARDA,ESCOLA PRIVADA,DE 3 A 4.5
13405,F,41.1,56.7,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,42.5,65.4,CASADO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,61.2,58.9,SOLTEIRO(A),NAO DECLARADO,ESCOLA PÚBLICA,ATE 1.5
13405,F,35,43.5,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,ATE 1.5
13405,F,52.9,73.6,CASADO(A),PARDA,MAIOR PARTE ESC. PRIVADA,ATE 1.5
13405,F,24.2,25.5,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,40.3,53.4,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 3 A 4.5
13405,F,39.8,50.7,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,47.3,59.4,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,59.9,55.3,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,41,46.5,CASADO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,53.2,59.6,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,65.1,49,SOLTEIRO(A),NAO DECLARADO,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,38.7,45.1,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,F,30.7,44.1,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,58,49.2,SEPARADO(A),BRANCA,ESCOLA PRIVADA,ATE 1.5
13405,M,54.5,46.7,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,33.8,44.9,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,62.7,30,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,44.6,52.7,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,42.7,61.1,CASADO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,45.6,53.8,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,37.5,52.3,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,55.7,63.3,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,M,48.4,70,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,31.5,19.7,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,F,31.1,48.4,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,M,70.7,67.6,CASADO(A),NAO DECLARADO,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,32.1,56.4,SOLTEIRO(A),NAO DECLARADO,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,55.9,56.3,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,41.9,41,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,F,36.1,45,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,F,40.3,53.4,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,F,34.9,50.8,SEPARADO(A),BRANCA,BRASIL E EXTERIOR,ATE 1.5
13405,F,31.8,47.5,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,F,46.3,57.1,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 4.5 A 6
13405,F,27.3,44.1,SOLTEIRO(A),NAO DECLARADO,ESCOLA PÚBLICA,ATE 1.5
13405,M,64.1,73.8,CASADO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,F,54.3,44.9,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,35.2,45,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,48.2,67.2,CASADO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,42.5,51.6,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,38.7,48.4,OUTRO,PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,43.8,50.9,CASADO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,F,38,47.3,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,ATE 1.5
13405,F,53.6,43.6,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,61.1,63,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,ATE 1.5
13405,M,40,39.4,CASADO(A),PRETA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,52.3,64.2,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 3 A 4.5
13405,M,32.2,22.6,CASADO(A),BRANCA,ESCOLA PRIVADA,DE 3 A 4.5
13405,F,38.8,43.4,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,ATE 1.5
13405,M,37.9,30.3,CASADO(A),PARDA,ESCOLA PÚBLICA,DE 10 A 30
13405,M,53.8,68.8,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,M,37.4,32.7,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,36.6,55.9,CASADO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,24.9,26.5,SOLTEIRO(A),PRETA,ESCOLA PÚBLICA,DE 3 A 4.5
13405,F,50.4,72.5,CASADO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13405,M,21.9,43.7,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,37.9,41.4,CASADO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,36.2,50.7,CASADO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13405,M,42.1,55.4,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13405,F,36.2,54.3,VIUVO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13407,M,54.9,77.8,OUTRO,BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13407,M,36.6,30.4,SOLTEIRO(A),NAO DECLARADO,ESCOLA PÚBLICA,ATE 1.5
13407,F,46.5,46.7,CASADO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13407,F,45.7,54.1,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 3 A 4.5
13407,F,27.8,39.6,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13407,M,47.1,43.8,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,DE 1.5 A 3
13407,M,51,51.5,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,DE 1.5 A 3
13407,F,51.2,60.6,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13407,F,26.2,40.8,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13407,M,48.3,55.6,CASADO(A),PARDA,ESCOLA PÚBLICA,DE 3 A 4.5
13407,M,61.4,55.5,SOLTEIRO(A),AMARELA,ESCOLA PÚBLICA,ATE 1.5
13407,F,30.9,47,SOLTEIRO(A),BRANCA,ESCOLA PÚBLICA,ATE 1.5
13407,F,27.2,31.2,CASADO(A),PARDA,MAIOR PARTE ESC. PRIVADA,ATE 1.5
13407,M,57.9,55.7,SOLTEIRO(A),PARDA,ESCOLA PÚBLICA,ATE 1.5
13407,F,37.6,44.2,SOLTEIRO(A),BRANCA,BRASIL E EXTERIOR,DE 1.5 A 3
